Año encuesta;Localidad;Sexo;Aseguramiento;Estrato;NIVEL_CONSUMO_TABACO_ACTUAL;Casos Fuma;Casos de tabaquismo pasivo;Casos de tabaquismo pesado;Registros
2019;Antonio Nariño;Hombre;Contributivo (EPS);3;LEVE;2;1;1;2
2019;Antonio Nariño;Hombre;Subsidiado (EPSS);3;LEVE;1;0;0;1
2019;Antonio Nariño;Hombre;Subsidiado (EPSS);3;MODERADO;1;1;1;1
2019;Antonio Nariño;Mujer;Contributivo (EPS);3;LEVE;2;0;0;2
2019;Antonio Nariño;Mujer;Contributivo (EPS);3;MODERADO;1;0;1;1
2019;Antonio Nariño;Mujer;Subsidiado (EPSS);3;LEVE;1;0;1;1
2019;Antonio Nariño;Mujer;Subsidiado (EPSS);3;MODERADO;1;1;1;1
2019;Antonio Nariño;Mujer;Subsidiado (EPSS);3;SEVERO;1;0;1;1
2019;Barrios Unidos;Hombre;Contributivo (EPS);3;LEVE;3;1;1;3
2019;Barrios Unidos;Hombre;Contributivo (EPS);4;SEVERO;1;1;1;1
2019;Barrios Unidos;Hombre;Subsidiado (EPSS);3;LEVE;2;0;0;2
2019;Barrios Unidos;Hombre;Subsidiado (EPSS);3;MODERADO;1;0;1;1
2019;Barrios Unidos;Mujer;Contributivo (EPS);3;LEVE;2;0;1;2
2019;Barrios Unidos;Mujer;Contributivo (EPS);3;MODERADO;1;0;1;1
2019;Barrios Unidos;Mujer;Contributivo (EPS);4;MODERADO;1;0;1;1
2019;Barrios Unidos;Mujer;Subsidiado (EPSS);3;LEVE;1;0;0;1
2019;Bosa;Hombre;Contributivo (EPS);2;LEVE;1;0;0;1
2019;Bosa;Hombre;Contributivo (EPS);2;MODERADO;1;0;1;1
2019;Bosa;Hombre;Ninguno;2;MODERADO;1;0;1;1
2019;Bosa;Hombre;Subsidiado (EPSS);2;LEVE;3;0;1;3
2019;Bosa;Mujer;Contributivo (EPS);2;LEVE;3;2;0;3
2019;Bosa;Mujer;Contributivo (EPS);2;SEVERO;1;0;1;1
