Área;Año;Sustancia;Casos;Tasa_ajustada
Usaquén;2013;Medicamentos;149;29,12
Chapinero;2013;Medicamentos;86;57,56
Santa Fe;2013;Medicamentos;56;55,08
San Cristóbal;2013;Medicamentos;138;35,93
Usme;2013;Medicamentos;75;21,52
Tunjuelito;2013;Medicamentos;54;31,5
Bosa;2013;Medicamentos;140;21,32
Kennedy;2013;Medicamentos;308;30,91
Fontibón;2013;Medicamentos;165;46,96
Engativá;2013;Medicamentos;241;30,72
Suba;2013;Medicamentos;219;19,87
Barrios Unidos;2013;Medicamentos;67;46,07
Teusaquillo;2013;Medicamentos;66;46,55
Los Mártires;2013;Medicamentos;36;47,54
Antonio Nariño;2013;Medicamentos;43;51,22
Puente Aranda;2013;Medicamentos;82;33,94
Candelaria;2013;Medicamentos;15;84,55
Rafael Uribe Uribe;2013;Medicamentos;105;29
Ciudad Bolívar;2013;Medicamentos;156;26,06
Sumapaz;2013;Medicamentos;0;0
Distrito;2013;Medicamentos;2.201;30,45
Usaquén;2013;Psicoactivas;198;38,7
Chapinero;2013;Psicoactivas;78;52,2
Santa Fe;2013;Psicoactivas;45;44,26
San Cristóbal;2013;Psicoactivas;101;26,3
Usme;2013;Psicoactivas;71;20,37
Tunjuelito;2013;Psicoactivas;30;17,5
Bosa;2013;Psicoactivas;49;7,46
Kennedy;2013;Psicoactivas;108;10,84
Fontibón;2013;Psicoactivas;128;36,43
Engativá;2013;Psicoactivas;139;17,72
Suba;2013;Psicoactivas;291;26,4
Barrios Unidos;2013;Psicoactivas;50;34,38
Teusaquillo;2013;Psicoactivas;42;29,63
Los Mártires;2013;Psicoactivas;34;44,9
Antonio Nariño;2013;Psicoactivas;48;57,17
Puente Aranda;2013;Psicoactivas;50;20,69
Candelaria;2013;Psicoactivas;10;56,36
Rafael Uribe Uribe;2013;Psicoactivas;88;24,3
Ciudad Bolívar;2013;Psicoactivas;78;13,03
Sumapaz;2013;Psicoactivas;4;117,65
Distrito;2013;Psicoactivas;1.642;22,72
Usaquén;2013;Otras sustancias químicas;63;12,31
Chapinero;2013;Otras sustancias químicas;27;18,07
Santa Fe;2013;Otras sustancias químicas;15;14,75
San Cristóbal;2013;Otras sustancias químicas;52;13,54
Usme;2013;Otras sustancias químicas;49;14,06
Tunjuelito;2013;Otras sustancias químicas;22;12,83
Bosa;2013;Otras sustancias químicas;53;8,07
Kennedy;2013;Otras sustancias químicas;92;9,23
Fontibón;2013;Otras sustancias químicas;58;16,51
Engativá;2013;Otras sustancias químicas;73;9,3
Suba;2013;Otras sustancias químicas;116;10,52
Barrios Unidos;2013;Otras sustancias químicas;32;22
Teusaquillo;2013;Otras sustancias químicas;29;20,46
Los Mártires;2013;Otras sustancias químicas;26;34,33
Antonio Nariño;2013;Otras sustancias químicas;12;14,29
Puente Aranda;2013;Otras sustancias químicas;35;14,48
Candelaria;2013;Otras sustancias químicas;6;33,82
Rafael Uribe Uribe;2013;Otras sustancias químicas;43;11,87
Ciudad Bolívar;2013;Otras sustancias químicas;76;12,7
Sumapaz;2013;Otras sustancias químicas;0;0
Distrito;2013;Otras sustancias químicas;879;12,16
Usaquén;2013;Plaguicidas;10;1,95
Chapinero;2013;Plaguicidas;3;2,01
Santa Fe;2013;Plaguicidas;10;9,84
San Cristóbal;2013;Plaguicidas;35;9,11
Usme;2013;Plaguicidas;53;15,21
Tunjuelito;2013;Plaguicidas;17;9,92
Bosa;2013;Plaguicidas;45;6,85
Kennedy;2013;Plaguicidas;48;4,82
Fontibón;2013;Plaguicidas;21;5,98
Engativá;2013;Plaguicidas;28;3,57
Suba;2013;Plaguicidas;37;3,36
Barrios Unidos;2013;Plaguicidas;8;5,5
Teusaquillo;2013;Plaguicidas;1;0,71
Los Mártires;2013;Plaguicidas;5;6,6
Antonio Nariño;2013;Plaguicidas;6;7,15
Puente Aranda;2013;Plaguicidas;6;2,48
Candelaria;2013;Plaguicidas;2;11,27
Rafael Uribe Uribe;2013;Plaguicidas;31;8,56
Ciudad Bolívar;2013;Plaguicidas;93;15,54
Sumapaz;2013;Plaguicidas;2;58,82
Distrito;2013;Plaguicidas;461;6,38
Usaquén;2013;Solventes;7;1,37
Chapinero;2013;Solventes;6;4,02
Santa Fe;2013;Solventes;3;2,95
San Cristóbal;2013;Solventes;3;0,78
Usme;2013;Solventes;7;2,01
Tunjuelito;2013;Solventes;7;4,08
Bosa;2013;Solventes;7;1,07
Kennedy;2013;Solventes;13;1,3
Fontibón;2013;Solventes;7;1,99
Engativá;2013;Solventes;14;1,78
Suba;2013;Solventes;26;2,36
Barrios Unidos;2013;Solventes;7;4,81
Teusaquillo;2013;Solventes;8;5,64
Los Mártires;2013;Solventes;1;1,32
Antonio Nariño;2013;Solventes;4;4,76
Puente Aranda;2013;Solventes;7;2,9
Candelaria;2013;Solventes;1;5,64
Rafael Uribe Uribe;2013;Solventes;13;3,59
Ciudad Bolívar;2013;Solventes;21;3,51
Sumapaz;2013;Solventes;0;0
Distrito;2013;Solventes;162;2,24
Usaquén;2013;Metales pesados;2;0,39
Chapinero;2013;Metales pesados;0;0
Santa Fe;2013;Metales pesados;2;1,97
San Cristóbal;2013;Metales pesados;3;0,78
Usme;2013;Metales pesados;1;0,29
Tunjuelito;2013;Metales pesados;3;1,75
Bosa;2013;Metales pesados;4;0,61
Kennedy;2013;Metales pesados;5;0,5
Fontibón;2013;Metales pesados;3;0,85
Engativá;2013;Metales pesados;0;0
Suba;2013;Metales pesados;3;0,27
Barrios Unidos;2013;Metales pesados;0;0
Teusaquillo;2013;Metales pesados;0;0
Los Mártires;2013;Metales pesados;0;0
Antonio Nariño;2013;Metales pesados;0;0
Puente Aranda;2013;Metales pesados;3;1,24
Candelaria;2013;Metales pesados;0;0
Rafael Uribe Uribe;2013;Metales pesados;1;0,28
Ciudad Bolívar;2013;Metales pesados;1;0,17
Sumapaz;2013;Metales pesados;0;0
Distrito;2013;Metales pesados;31;0,43
Usaquén;2013;Gases;21;4,1
Chapinero;2013;Gases;8;5,35
Santa Fe;2013;Gases;7;6,89
San Cristóbal;2013;Gases;8;2,08
Usme;2013;Gases;7;2,01
Tunjuelito;2013;Gases;5;2,92
Bosa;2013;Gases;15;2,28
Kennedy;2013;Gases;25;2,51
Fontibón;2013;Gases;17;4,84
Engativá;2013;Gases;21;2,68
Suba;2013;Gases;59;5,35
Barrios Unidos;2013;Gases;5;3,44
Teusaquillo;2013;Gases;4;2,82
Los Mártires;2013;Gases;6;7,92
Antonio Nariño;2013;Gases;1;1,19
Puente Aranda;2013;Gases;75;31,04
Candelaria;2013;Gases;0;0
Rafael Uribe Uribe;2013;Gases;6;1,66
Ciudad Bolívar;2013;Gases;10;1,67
Sumapaz;2013;Gases;0;0
Distrito;2013;Gases;300;4,15
Usaquén;2013;Metanol;1;0,2
Chapinero;2013;Metanol;0;0
Santa Fe;2013;Metanol;0;0
San Cristóbal;2013;Metanol;0;0
Usme;2013;Metanol;1;0,29
Tunjuelito;2013;Metanol;0;0
Bosa;2013;Metanol;0;0
Kennedy;2013;Metanol;0;0
Fontibón;2013;Metanol;1;0,28
Engativá;2013;Metanol;0;0
Suba;2013;Metanol;0;0
Barrios Unidos;2013;Metanol;0;0
Teusaquillo;2013;Metanol;0;0
Los Mártires;2013;Metanol;0;0
Antonio Nariño;2013;Metanol;0;0
Puente Aranda;2013;Metanol;1;0,41
Candelaria;2013;Metanol;0;0
Rafael Uribe Uribe;2013;Metanol;1;0,28
Ciudad Bolívar;2013;Metanol;1;0,17
Sumapaz;2013;Metanol;0;0
Distrito;2013;Metanol;6;0,08
Usaquén;2013;Todas las sustancias;450;87,95
Chapinero;2013;Todas las sustancias;208;139,21
Santa Fe;2013;Todas las sustancias;139;136,72
San Cristóbal;2013;Todas las sustancias;339;88,26
Usme;2013;Todas las sustancias;265;76,04
Tunjuelito;2013;Todas las sustancias;137;79,92
Bosa;2013;Todas las sustancias;313;47,66
Kennedy;2013;Todas las sustancias;597;59,92
Fontibón;2013;Todas las sustancias;402;114,42
Engativá;2013;Todas las sustancias;516;65,77
Suba;2013;Todas las sustancias;751;68,13
Barrios Unidos;2013;Todas las sustancias;169;116,2
Teusaquillo;2013;Todas las sustancias;150;105,8
Los Mártires;2013;Todas las sustancias;108;142,62
Antonio Nariño;2013;Todas las sustancias;114;135,79
Puente Aranda;2013;Todas las sustancias;257;106,36
Candelaria;2013;Todas las sustancias;35;197,27
Rafael Uribe Uribe;2013;Todas las sustancias;290;80,08
Ciudad Bolívar;2013;Todas las sustancias;438;73,18
Sumapaz;2013;Todas las sustancias;6;176,47
Distrito;2013;Todas las sustancias;5.684;78,63
Usaquén;2014;Medicamentos;176;34,08
Chapinero;2014;Medicamentos;73;48,4
Santa Fe;2014;Medicamentos;43;42,19
San Cristóbal;2014;Medicamentos;116;30,28
Usme;2014;Medicamentos;102;29,04
Tunjuelito;2014;Medicamentos;55;32,19
Bosa;2014;Medicamentos;152;22,86
Kennedy;2014;Medicamentos;317;31,73
Fontibón;2014;Medicamentos;170;48,01
Engativá;2014;Medicamentos;287;36,61
Suba;2014;Medicamentos;289;25,99
Barrios Unidos;2014;Medicamentos;69;48,76
Teusaquillo;2014;Medicamentos;75;52,8
Los Mártires;2014;Medicamentos;51;68,2
Antonio Nariño;2014;Medicamentos;45;54,65
Puente Aranda;2014;Medicamentos;74;30,69
Candelaria;2014;Medicamentos;7;40,01
Rafael Uribe Uribe;2014;Medicamentos;114;31,54
Ciudad Bolívar;2014;Medicamentos;167;27,82
Sumapaz;2014;Medicamentos;1;30,32
Distrito;2014;Medicamentos;2.383;32,86
Usaquén;2014;Psicoactivas;238;46,08
Chapinero;2014;Psicoactivas;61;40,45
Santa Fe;2014;Psicoactivas;37;36,3
San Cristóbal;2014;Psicoactivas;90;23,49
Usme;2014;Psicoactivas;82;23,35
Tunjuelito;2014;Psicoactivas;28;16,39
