Año	Sexo	Codigo Localidad	Localidad	GrupoEdad	Aseguramiento	CIE10	Causa de Muerte	Condición Cronica	Muertes total
2005	Femenino	21	Distrito	40 a 44 años	Otro	J448	OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRONICAS ESPECIFICADAS	Enfermedades cronicas respiratorias bajas	1
2005	Femenino	21	Distrito	40 a 44 años	Subsidiado	J448	OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRONICAS ESPECIFICADAS	Enfermedades cronicas respiratorias bajas	1
2005	Femenino	21	Distrito	40 a 44 años	Subsidiado	J449	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA, NO ESPECIFICADA	Enfermedades cronicas respiratorias bajas	1
2005	Femenino	21	Distrito	40 a 44 años	Vinculado	J449	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA, NO ESPECIFICADA	Enfermedades cronicas respiratorias bajas	1
2005	Femenino	21	Distrito	45 a 49 años	Contributivo	J449	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA, NO ESPECIFICADA	Enfermedades cronicas respiratorias bajas	1
2005	Femenino	21	Distrito	50 a 54 años	Contributivo	J449	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA, NO ESPECIFICADA	Enfermedades cronicas respiratorias bajas	1
2005	Femenino	21	Distrito	50 a 54 años	Subsidiado	J449	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA, NO ESPECIFICADA	Enfermedades cronicas respiratorias bajas	3
2005	Femenino	21	Distrito	55 a 59 años	Contributivo	J440	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA CON INFECCION AGUDA DE LAS VIAS RESPIRATORIAS INFERIORES	Enfermedades cronicas respiratorias bajas	1
2005	Femenino	21	Distrito	55 a 59 años	Contributivo	J449	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA, NO ESPECIFICADA	Enfermedades cronicas respiratorias bajas	2
2005	Femenino	21	Distrito	55 a 59 años	Subsidiado	J441	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA CON EXACERBACION AGUDA, NO ESPECIFICADA	Enfermedades cronicas respiratorias bajas	1
2005	Femenino	21	Distrito	55 a 59 años	Subsidiado	J449	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA, NO ESPECIFICADA	Enfermedades cronicas respiratorias bajas	3
2005	Femenino	21	Distrito	55 a 59 años	Vinculado	J449	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA, NO ESPECIFICADA	Enfermedades cronicas respiratorias bajas	2
2005	Femenino	21	Distrito	60 a 64 años	Contributivo	J439	ENFISEMA, NO ESPECIFICADO	Enfermedades cronicas respiratorias bajas	1
2005	Femenino	21	Distrito	60 a 64 años	Contributivo	J440	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA CON INFECCION AGUDA DE LAS VIAS RESPIRATORIAS INFERIORES	Enfermedades cronicas respiratorias bajas	1
2005	Femenino	21	Distrito	60 a 64 años	Contributivo	J441	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA CON EXACERBACION AGUDA, NO ESPECIFICADA	Enfermedades cronicas respiratorias bajas	1
2005	Femenino	21	Distrito	60 a 64 años	Contributivo	J448	OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRONICAS ESPECIFICADAS	Enfermedades cronicas respiratorias bajas	1
