Año;Sexo;Código Localidad;Localidad;Grupo de edad;Régimen Aseguramiento;Código CIE10;Descripción causa básica de muerte;Grupo condición crónica;Muertes total
2005;Femenino;21;Distrito;40 a 44 años;Otro;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;40 a 44 años;Subsidiado;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;40 a 44 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;40 a 44 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;45 a 49 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;50 a 54 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;50 a 54 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;3
2005;Femenino;21;Distrito;55 a 59 años;Contributivo;J440;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS INFERIORES;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;55 a 59 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
2005;Femenino;21;Distrito;55 a 59 años;Subsidiado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;55 a 59 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;3
2005;Femenino;21;Distrito;55 a 59 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
2005;Femenino;21;Distrito;60 a 64 años;Contributivo;J439;ENFISEMA, NO ESPECIFICADO;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;60 a 64 años;Contributivo;J440;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS INFERIORES;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;60 a 64 años;Contributivo;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;60 a 64 años;Contributivo;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;60 a 64 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;8
2005;Femenino;21;Distrito;60 a 64 años;Particular;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;60 a 64 años;Subsidiado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;60 a 64 años;Subsidiado;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;60 a 64 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;7
2005;Femenino;21;Distrito;60 a 64 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;65 a 69 años;Contributivo;J440;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS INFERIORES;Enfermedades crónicas respiratorias bajas;2
2005;Femenino;21;Distrito;65 a 69 años;Contributivo;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;3
2005;Femenino;21;Distrito;65 a 69 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;17
